project_name,project_sector
"Renovation and Expansion of NPHCDA South West Zonal Cold & dry store, under the Nigeria Polio Eradication Support Project, Oshodi",Infrastructure
Gold Mining Project at Chiranchi,Mining
"Gold Mining Project No 25348EL, Jibia",Mining
Gold Mining Project No25349EL at Dan-Musa,Mining
Gold Mining Project No 19485 at Kokona LGA,Mining
"Gold Mining Project No 25350 EL, Batagarawa LGA",Mining
"Pharmaceutical & Laboratories Soap Factory Project at Enu-Ifite Village, Awka LGA",Manufacturing
Sheanut Trading and Processing Plant Manufacturing at Mokwa LGA,Manufacturing
"Exploration & Mining of Lead/Zinc Ore, ML No 21392 at Wukari LGA",Mining
Limestone Mining Project ML No 21598 at Akoko-Edo LGA ,Mining
"Copper, Lead and Zinc Mining Project ML No 995855 at Kompani Zurak, Wase LGA",Mining
Limestone Mining Project ML 21597 at Akoko-Edo LGA,Mining
"Mining Project at Jenta, Kokona LGA",Mining
Shopping Mall at Obio-Akpor LGA,Infrastructure
"Kalaekule Full Field Development in OML 72, Bonny LGA",Oil & Gas
Exploration and Mining of Marble/Dolomite of Quarry Lease 4994 in Olorunsogo LGA,Mining
Exploration and Mining of Marble/Dolomite of Quarry Lease 4995 in Olorunsogo LGA,Mining
"Quarrying of Granite Rock Deposit within Quarry Lease Title No. 9026QLS Located at Kalaugyi Baupma/Bmuko Village, Bwari Area Council",Mining
Construction of Farin Ruwa Dam,Infrastructure
14 ESMPs & 1 ARAP FOR MULTI-SECTORAL CRISIS RECOVERY PROJECT,Infrastructure
"ESMP for Mini Grid Sites in Edu, Pategi and Baruten LGAs",Renewable Energy
ESMP for Solar Mini-Grids ,Renewable Energy
ESMP for Solar Mini-Grids,Renewable Energy
ESMP for Solar Mini-Grids ,Renewable Energy
Exploration of Iron Ore EL 20766,Mining
ESMP for Mini-Grid Projects in Seven (7) Communities in Ohaozara and Afikpo South LGAs ,Renewable Energy
ATC Nigeria Phase 12 BTS Projects (370 BTS in 35 States and the FCT),Telecommunications
Development of Twenty-two (22) Solar Mini-Grid Projects ,Renewable Energy
Oriental Glass FZE Factory ,Manufacturing
Nitoo Sanitary FZE Factory,Manufacturing
"Exploration and Mining Activities of Lead/Zinc, Silver (EL 24953) in Logo/Wukari LGA",Mining
Gold Ore Exploration and Mining at Maiha LGA,Mining
Development of Solar Mini-Grid Projects in Cross River State (56 sites),Renewable Energy
Massive Rehabilitation of EIA Office in Nigeria Under NEWMAP/World Bank Support Project,Infrastructure
"British American Tobacco 6MW Independent Power Generation (Project Edison), Oluyole LGA, Ibadan.",Power
"Data Centre Phase II Expansion at Oregun, Ikeja LGA",Infrastructure
Aladja-Burutu-Agge Eighty-Eight Kilometres (88KM) Road Project at Burutu LGA,Infrastructure
"Type 3 Composite LPG Cylinder Manufacturing Plant at Polaku, Yenagoa LGA",Manufacturing
Crownwell Bitumen Mining Operation (31455EL),Mining
Crownwell Bitumen Mining Operation (30047EL),Mining
"GMT Nigeria Limited Truck Park Project along Irede Road, Abule Osun, Amuwo LGA",Infrastructure
"ESMP for 100kw-500kw Solar Hybrid Minigrid in Ode-Omi, Ogun Waterside LGA",Renewable Energy
EIA for Tahir Rice Mill Limited,Manufacturing
"Dualization and Rehabilitation of Rumuola Junction Flyover, Construction of Flyover  at GRA Junction and Dualization of Tombia Extension and Ezimgbu road in Obio/Akpor LGA",Infrastructure
"Construction of a Life Camp and Infrastructure at Polo-Cico Farms and Estate at Ebocha, Ogba/Egbema/Ndoni LGA",Infrastructure
Sandfilling Project at Tende-Ama in Ogu/Bolo LGA,Infrastructure
Sandfilling Project at Ogu in Ogu/Bolo LGA,Infrastructure
Sandfilling at Windeh-Ama in Ogu/Bolo LGA,Infrastructure
"Electrification of Ogu, Ogu/Bolo LGA",Power
"Sandfilling of Chuku-Ama, Ogu/Bolo LGA",Infrastructure
"ESMP for Nasarawa State NEWMAP Erosion/Storm Water Control Project in Lafia-Doma, Keffi and Toto",Infrastructure
ESMP for Storm Water Management Works at Tudun Wada/Mabera ,Infrastructure
"Rehabilitation of Lugu Earth Dam, Wurno LGA",Infrastructure
"Freezo Development Project, Ekeremor LGA",Oil & Gas
"Expansion of Sulphonation Plant (LABSA & Surfactants Manufacturing), Agbara",Manufacturing
"Burutu Tank Farm, Jetties and Ancillary Facilities",Infrastructure
Aladja-Burutu-Agge Rail Construction,Infrastructure
110mw Electricity for Burutu Ports Facilities,Power
"Bestaf Marine Services Kirikiri Port Facility in Kirikiri Port Terminal, Apapa LGA",Infrastructure
NBC Benin Effluent Discharge Pipeline Project,Infrastructure
"Alexis 2,000 BPD Modular Refinery, Abuator, Ndokwa East LGA",Oil & Gas
"HMD Warehouse Development, Alaro City, Epe, Ibeju-Lekki LGA",Infrastructure
"Gold and Tourmaline Mining, Sumaila LGA, Kano State",Mining
"Southern Swamp Associated Gas Solutions (SSAGS) Step 3B Project, Ekeremor and Southern Ijaw LGAs",Oil & Gas
"Coal Exploration and Mining at Edumoga, Okpokwu LGA",Mining
Mining/Exploration of Gold Deposit in Shiroro LGA,Mining
"ESMP for Twenty-Seven (27) Solar Hybrid Mini-Grid Sites at Etchie, Ahoada-West, Ahoada-East, Ogba-Egbema-Ndoni and Abuah-Odual LGAs",Renewable Energy
New Ado-Iyin Ekiti Dual Carriageway,Infrastructure
Sustainability Reporting,Manufacturing
Telecoms Petitions,Manufacturing
Resettlement Action Plan (RAP) for Udi-Ozalla Gully Erosion Site,Infrastructure
"Kainji Aquaculture Resource Limited Fish Farm along the Western Boundary of Kainji Reservoir, Borgu LGA",Agriculture
Gold Exploration Project at Shiroro LGA,Mining
"100KW Solar Hybrid Mini-Grid at Ndufu-Umota, Eka-Awoke, Ikwo LGA",Power
"Mining/Quarrying of Granite Deposit at Abuja Municipal Area Council (AMAC), Abuja - FCT (29794QL)",Mining
"Multi-sectoral Crisis Recovery project in Adamawa State: Construction of Michika General Hospital Road, Michika LGA",Infrastructure
"Multi-sectoral Crisis Recovery project in Adamawa State: Construction of 39.76km Mubi - Bazza Road, Mubi South and Michika LGAs",Infrastructure
Multi-sectoral Crisis Recovery project in Adamawa State: Rehabilitation of Garkida Road at Gombi LGA,Infrastructure
"ESMP for Hybrid Solar Mini-Grid in Old Chikuku, Petti, kilankwa 1 and Kilankwa 2, Kwali Area Council, FCT",Power
Dari Rice Mill at Yola North LGA,Manufacturing
